0.50013	346.813	
0.500368	610.965	
0.500606	875.118	
0.500844	1139.27	
0.501082	873.392	
0.501321	607.514	
0.501559	783.41	
0.501797	959.306	
0.502035	886.705	
0.502274	814.103	
0.502512	930.833	
0.50275	1047.56	
0.502988	1142.6	
0.503226	1237.63	
0.503465	764.674	
0.503703	291.714	
0.503941	367.028	
0.504179	442.342	
0.504418	328.323	
0.504656	214.305	
0.504894	306.752	
0.505132	399.2	
0.50537	491.647	
0.505609	584.094	
0.505847	262.378	
0.506085	-59.3384	
0.506323	60.7197	
0.506562	180.778	
0.5068	149.962	
0.507038	119.146	
0.507276	-101.001	
0.507514	-321.149	
0.507753	-146.855	
0.507991	27.4387	
0.508229	-240.042	
0.508467	-507.522	
0.508706	-400.284	
0.508944	-293.045	
0.509182	3.52563	
0.50942	300.096	
0.509658	214.059	
0.509897	128.021	
0.510135	231.316	
0.510373	334.61	
0.510611	423.113	
0.51085	511.615	
0.511088	600.118	
0.511326	688.621	
0.511564	654.847	
0.511802	621.073	
0.512041	397.967	
0.512279	174.861	
0.512517	521.6	
0.512755	868.338	
0.512994	647.082	
0.513232	425.824	
0.51347	157.235	
0.513708	-111.355	
0.513946	314.271	
0.514185	739.898	
0.514423	662.613	
0.514661	585.327	
0.514899	318.709	
0.515138	52.0913	
0.515376	179.915	
0.515614	307.739	
0.515852	624.894	
0.51609	942.05	
0.516329	648.807	
0.516567	355.565	
0.516805	377.875	
0.517043	400.186	
0.517282	394.885	
0.51752	389.585	
0.517758	384.285	
0.517996	378.985	
0.518234	669.515	
0.518473	960.046	
0.518711	682.581	
0.518949	405.116	
0.519187	427.427	
0.519426	449.738	
0.519664	472.048	
0.519902	494.359	
0.52014	333.624	
0.520378	172.889	
0.520617	453.928	
0.520855	734.968	
0.521093	597.899	
0.521331	460.831	
0.52157	323.763	
0.521808	186.694	
0.522046	112.737	
0.522284	38.7788	
0.522522	532.817	
0.522761	1026.85	
0.522999	818.787	
0.523237	610.719	
0.523475	402.651	
0.523714	194.583	
0.523952	192.118	
0.52419	189.653	
0.524428	124.077	
0.524666	-320.163	
0.524905	-571.126	
0.525143	-190.983	
0.525381	212.826	
0.525619	237.972	
0.525858	296.645	
0.526096	355.318	
0.526334	200.993	
0.526572	46.6677	
0.52681	125.063	
0.527049	203.458	
0.527287	281.854	
0.527525	360.249	
0.527763	60.843	
0.528002	-238.563	
0.52824	30.0273	
0.528478	298.617	
0.528716	527.763	
0.528954	756.909	
0.529193	291.838	
0.529431	-173.233	
0.529669	-113.697	
0.529907	-54.1614	
0.530146	5.37476	
0.530384	64.9106	
0.530622	195.446	
0.53086	325.981	
0.531098	456.517	
0.531337	587.052	
0.531575	201.363	
0.531813	-184.327	
0.532051	-2.021	
0.53229	180.285	
0.532528	453.312	
0.532766	726.34	
0.533004	557.593	
0.533242	388.846	
0.533481	227.988	
0.533719	67.1294	
0.533957	221.824	
0.534195	376.519	
0.534434	468.104	
0.534672	559.688	
0.53491	651.272	
0.535148	742.857	
0.535386	519.504	
0.535625	296.152	
0.535863	72.7996	
0.536101	-150.553	
0.536339	56.0356	
0.536578	262.624	
0.536816	429.769	
0.537054	596.913	
0.537292	1108.21	
0.53753	988.396	
0.537769	781.808	
0.538007	575.219	
0.538245	412.019	
0.538483	248.819	
0.538722	401.172	
0.53896	553.525	
0.539198	469.213	
0.539436	384.901	
0.539674	489.921	
0.539913	594.941	
0.540151	557.962	
0.540389	520.983	
0.540627	294.673	
0.540866	68.3621	
0.541104	24.4805	
0.541342	-19.4011	
0.54158	126.049	
0.541818	271.499	
0.542057	251.284	
0.542295	231.069	
0.542533	210.854	
0.542771	190.639	
0.54301	156.002	
0.543248	121.365	
0.543486	86.7283	
0.543724	52.0913	
0.543962	411.896	
0.544201	771.7	
0.544439	689.73	
0.544677	607.76	
0.544915	748.65	
0.545154	889.54	
0.545392	967.319	
0.54563	413.991	
0.545868	176.217	
0.546106	317.107	
0.546345	268.664	
0.546583	-158.442	
0.546821	-827.636	
0.547059	-865.724	
0.547298	-564.593	
0.547536	-263.462	
0.547774	-238.439	
0.548012	165.247	
0.54825	521.6	
0.548489	246.847	
0.548727	267.925	
0.548965	289.003	
0.549203	712.411	
0.549442	1135.82	
0.54968	916.288	
0.549918	696.756	
0.550156	287.893	
0.550394	-120.97	
0.550633	-143.404	
0.550871	-165.838	
0.551109	24.7271	
0.551347	-163.372	
0.551586	98.1917	
0.551824	359.756	
0.552062	431.988	
0.5523	504.22	
0.552538	305.273	
0.552777	484.991	
0.553015	664.708	
0.553253	465.762	
0.553491	467.98	
0.55373	470.199	
0.553968	661.75	
0.554206	474.637	
0.554444	433.96	
0.554682	393.283	
0.554921	328.94	
0.555159	264.597	
0.555397	180.531	
0.555635	96.4661	
0.555874	225.399	
0.556112	-24.3317	
0.55635	-324.354	
0.556588	-624.376	
0.556826	-127.626	
0.557065	369.124	
0.557303	195.323	
0.557541	21.5222	
0.557779	392.051	
0.558018	762.579	
0.558256	747.048	
0.558494	352.853	
0.558732	195.323	
0.55897	37.7927	
0.559209	-245.958	
0.559447	-151.046	
0.559685	156.865	
0.559923	86.1118	
0.560162	-41.8351	
0.5604	208.882	
0.560638	246.6	
0.560876	284.319	
0.561114	45.9282	
0.561353	186.201	
0.561591	113.476	
0.561829	40.7512	
0.562067	1.06055	
0.562306	-38.6302	
0.562544	111.011	
0.562782	260.652	
0.56302	268.294	
0.563258	275.937	
0.563497	283.579	
0.563735	291.221	
0.563973	186.448	
0.564211	81.6743	
0.56445	166.233	
0.564688	250.791	
