timestamp,weight,scale_drop,vernier_drop
2025-10-06 20:06:08.666596889,0.004,0.0,
2025-10-06 20:06:09.084990740,0.004,0.0,
2025-10-06 20:06:09.490753174,0.004,0.0,
2025-10-06 20:06:09.895288944,0.003,0.0,
2025-10-06 20:06:10.440983534,,,1.0
2025-10-06 20:06:10.301605940,0.003,0.0,
2025-10-06 20:06:10.705986738,0.003,0.0,
2025-10-06 20:06:11.051201582,,,2.0
2025-10-06 20:06:11.109985590,0.009,0.0,
2025-10-06 20:06:11.516284227,0.016,0.0,
2025-10-06 20:06:11.730981112,,,3.0
2025-10-06 20:06:11.920475721,0.019,0.0,
2025-10-06 20:06:12.321076632,,,4.0
2025-10-06 20:06:12.328815222,0.023,0.0,
2025-10-06 20:06:12.732019186,0.028,0.0,
2025-10-06 20:06:13.010983706,,,5.0
2025-10-06 20:06:13.135472298,0.032,0.0,
2025-10-06 20:06:13.590985060,,,6.0
2025-10-06 20:06:13.541484833,0.039,0.0,
2025-10-06 20:06:13.946595430,0.046,0.0,
2025-10-06 20:06:14.280989647,,,7.0
2025-10-06 20:06:14.351483583,0.049,0.0,
2025-10-06 20:06:14.860987186,,,8.0
2025-10-06 20:06:14.758048534,0.054,0.0,
2025-10-06 20:06:15.161989450,0.059,0.0,
2025-10-06 20:06:15.550987720,,,9.0
2025-10-06 20:06:15.565383911,0.066,0.0,
2025-10-06 20:06:16.121250391,,,10.0
2025-10-06 20:06:15.969134331,0.071,0.0,
2025-10-06 20:06:16.375479460,0.075,0.0,
2025-10-06 20:06:16.811135292,,,11.0
2025-10-06 20:06:16.779987097,0.082,0.0,
2025-10-06 20:06:17.185574293,0.087,0.0,
2025-10-06 20:06:17.390992165,,,12.0
2025-10-06 20:06:17.588449478,0.091,0.0,
2025-10-06 20:06:18.080961466,,,13.0
2025-10-06 20:06:17.992471218,0.098,0.0,
2025-10-06 20:06:18.396058559,0.103,0.0,
2025-10-06 20:06:18.660995007,,,14.0
2025-10-06 20:06:18.801918507,0.108,0.0,
2025-10-06 20:06:19.341087580,,,15.0
2025-10-06 20:06:19.208933353,0.114,0.0,
2025-10-06 20:06:19.610998631,0.118,0.0,
2025-10-06 20:06:19.921132565,,,16.0
2025-10-06 20:06:20.018944263,0.124,0.0,
2025-10-06 20:06:20.610998869,,,17.0
2025-10-06 20:06:20.421672344,0.13,0.0,
2025-10-06 20:06:20.825993776,0.133,0.0,
2025-10-06 20:06:21.191092968,,,18.0
2025-10-06 20:06:21.231262922,0.139,0.0,
2025-10-06 20:06:21.635471106,0.146,0.0,
2025-10-06 20:06:21.881105423,,,19.0
2025-10-06 20:06:22.041993141,0.151,0.0,
2025-10-06 20:06:22.450537205,,,20.0
2025-10-06 20:06:22.443993568,0.156,0.0,
2025-10-06 20:06:22.847177267,0.161,0.0,
2025-10-06 20:06:23.141003847,,,21.0
2025-10-06 20:06:23.251006365,0.166,0.0,
2025-10-06 20:06:23.720984221,,,22.0
2025-10-06 20:06:23.655920744,0.172,0.0,
2025-10-06 20:06:24.060627937,0.176,0.0,
2025-10-06 20:06:24.411006451,,,23.0
2025-10-06 20:06:24.466462135,0.181,0.0,
2025-10-06 20:06:24.981007099,,,24.0
2025-10-06 20:06:24.871175528,0.185,0.0,
2025-10-06 20:06:25.275601387,0.188,0.0,
2025-10-06 20:06:25.671077490,,,25.0
2025-10-06 20:06:25.681158066,0.193,0.0,
2025-10-06 20:06:26.250995636,,,26.0
2025-10-06 20:06:26.085584879,0.197,0.0,
2025-10-06 20:06:26.493238211,0.198,0.0,
2025-10-06 20:06:26.941011190,,,27.0
2025-10-06 20:06:26.901594877,0.202,0.0,
2025-10-06 20:06:27.318488359,0.207,0.0,
2025-10-06 20:06:27.520450353,,,28.0
2025-10-06 20:06:27.722986460,0.211,0.0,
2025-10-06 20:06:28.211013794,,,29.0
2025-10-06 20:06:28.127003431,0.215,0.0,
2025-10-06 20:06:28.533471346,0.219,0.0,
2025-10-06 20:06:28.780853271,,,30.0
2025-10-06 20:06:28.935931921,0.222,0.0,
2025-10-06 20:06:29.470921993,,,31.0
2025-10-06 20:06:29.342467308,0.243,0.0,
2025-10-06 20:06:29.746374369,0.239,0.0,
2025-10-06 20:06:30.050875425,,,32.0
2025-10-06 20:06:30.150010109,0.242,0.0,
2025-10-06 20:06:30.741018295,,,33.0
2025-10-06 20:06:30.568637371,0.252,0.0,
2025-10-06 20:06:30.998956203,0.26,0.0,
2025-10-06 20:06:31.320931435,,,34.0
2025-10-06 20:06:31.403049469,0.265,0.0,
2025-10-06 20:06:32.010996819,,,35.0
2025-10-06 20:06:31.808249712,0.272,0.0,
2025-10-06 20:06:32.212279320,0.277,0.0,
2025-10-06 20:06:32.591022253,,,36.0
2025-10-06 20:06:32.617931843,0.281,0.0,
2025-10-06 20:06:33.019930840,0.287,0.0,
2025-10-06 20:06:33.271088362,,,37.0
2025-10-06 20:06:33.426701546,0.291,0.0,
2025-10-06 20:06:33.850983620,,,38.0
2025-10-06 20:06:33.833762884,0.296,0.0,
2025-10-06 20:06:34.235473633,0.302,0.0,
2025-10-06 20:06:34.541026115,,,39.0
2025-10-06 20:06:34.639929533,0.308,0.0,
2025-10-06 20:06:35.121026993,,,40.0
2025-10-06 20:06:35.045452595,0.314,0.0,
2025-10-06 20:06:35.448987722,0.317,0.0,
2025-10-06 20:06:35.800484657,,,41.0
2025-10-06 20:06:35.854107380,0.323,0.0,
2025-10-06 20:06:36.391029596,,,42.0
2025-10-06 20:06:36.260303020,0.328,0.0,
2025-10-06 20:06:36.678939104,0.333,0.0,
2025-10-06 20:06:37.071122885,,,43.0
2025-10-06 20:06:37.083992481,0.338,0.0,
2025-10-06 20:06:37.691032171,,,44.0
2025-10-06 20:06:37.490812063,0.342,0.0,
2025-10-06 20:06:37.894086361,0.345,0.0,
2025-10-06 20:06:38.341033459,,,45.0
2025-10-06 20:06:38.297927618,0.352,0.0,
2025-10-06 20:06:38.702383518,0.357,0.0,
2025-10-06 20:06:38.991101265,,,46.0
2025-10-06 20:06:39.133467436,0.362,0.0,
2025-10-06 20:06:39.611266136,,,47.0
2025-10-06 20:06:39.535508394,0.368,0.0,
2025-10-06 20:06:39.942482710,0.371,0.0,
2025-10-06 20:06:40.270951509,,,48.0
2025-10-06 20:06:40.350300789,0.376,0.0,
2025-10-06 20:06:40.871141434,,,49.0
2025-10-06 20:06:40.752537489,0.382,0.0,
2025-10-06 20:06:41.157997608,0.387,0.0,
2025-10-06 20:06:41.541039944,,,50.0
2025-10-06 20:06:41.560338736,0.394,0.0,
2025-10-06 20:06:42.131122112,,,51.0
2025-10-06 20:06:41.963994741,0.402,0.0,
2025-10-06 20:06:42.367122889,0.406,0.0,
2025-10-06 20:06:42.811124086,,,52.0
2025-10-06 20:06:42.770924568,0.412,0.0,
2025-10-06 20:06:43.175877094,0.416,0.0,
2025-10-06 20:06:43.391043425,,,53.0
2025-10-06 20:06:43.580808640,0.419,0.0,
2025-10-06 20:06:44.081140280,,,54.0
2025-10-06 20:06:43.984964848,0.425,0.0,
2025-10-06 20:06:44.386427402,0.43,0.0,
2025-10-06 20:06:44.661046267,,,55.0
2025-10-06 20:06:44.793474197,0.436,0.0,
2025-10-06 20:06:45.341047287,,,56.0
