timestamp,weight,scale_drop,vernier_drop
2025-10-06 19:59:49.003752470,0.0,0.0,
2025-10-06 19:59:49.420957327,0.0,0.0,
2025-10-06 19:59:49.821795940,0.0,0.0,
2025-10-06 19:59:50.227236032,0.0,0.0,
2025-10-06 19:59:50.631732225,0.0,0.0,
2025-10-06 19:59:51.130292416,,,1.0
2025-10-06 19:59:51.033470154,0.0,0.0,
2025-10-06 19:59:51.436814070,0.0,0.0,
2025-10-06 19:59:51.719996929,,,2.0
2025-10-06 19:59:51.843467474,0.004,0.0,
2025-10-06 19:59:52.410233974,,,3.0
2025-10-06 19:59:52.249988556,0.01,0.0,
2025-10-06 19:59:52.652992249,0.015,0.0,
2025-10-06 19:59:52.999513626,,,4.0
2025-10-06 19:59:53.058643103,0.021,0.0,
2025-10-06 19:59:53.464120150,0.027,0.0,
2025-10-06 19:59:53.690236092,,,5.0
2025-10-06 19:59:53.868185997,0.031,0.0,
2025-10-06 19:59:54.260238171,,,6.0
2025-10-06 19:59:54.272306442,0.035,0.0,
2025-10-06 19:59:54.677693129,0.041,0.0,
2025-10-06 19:59:54.950145245,,,7.0
2025-10-06 19:59:55.082990885,0.044,0.0,
2025-10-06 19:59:55.530148505,,,8.0
2025-10-06 19:59:55.486655474,0.048,0.0,
2025-10-06 19:59:55.891328812,0.055,0.0,
2025-10-06 19:59:56.220242262,,,9.0
2025-10-06 19:59:56.294216871,0.06,0.0,
2025-10-06 19:59:56.800151348,,,10.0
2025-10-06 19:59:56.699987888,0.066,0.0,
2025-10-06 19:59:57.103472471,0.071,0.0,
2025-10-06 19:59:57.490244627,,,11.0
2025-10-06 19:59:57.508773804,0.077,0.0,
2025-10-06 19:59:58.060245991,,,12.0
2025-10-06 19:59:57.910650969,0.083,0.0,
2025-10-06 19:59:58.314469814,0.088,0.0,
2025-10-06 19:59:58.750322342,,,13.0
2025-10-06 19:59:58.717511415,0.094,0.0,
2025-10-06 19:59:59.125472784,0.099,0.0,
2025-10-06 19:59:59.330248117,,,14.0
2025-10-06 19:59:59.529988050,0.102,0.0,
2025-10-06 20:00:00.020140171,,,15.0
2025-10-06 19:59:59.936160088,0.108,0.0,
2025-10-06 20:00:00.344470501,0.112,0.0,
2025-10-06 20:00:00.589829683,,,16.0
2025-10-06 20:00:00.755042315,0.118,0.0,
2025-10-06 20:00:01.280252695,,,17.0
2025-10-06 20:00:01.159674168,0.124,0.0,
2025-10-06 20:00:01.565101147,0.128,0.0,
2025-10-06 20:00:01.860253811,,,18.0
2025-10-06 20:00:01.971083879,0.133,0.0,
2025-10-06 20:00:02.550037146,,,19.0
2025-10-06 20:00:02.377985239,0.139,0.0,
2025-10-06 20:00:02.779866219,0.142,0.0,
2025-10-06 20:00:03.130255699,,,20.0
2025-10-06 20:00:03.181509972,0.148,0.0,
2025-10-06 20:00:03.587029457,0.155,0.0,
2025-10-06 20:00:03.820256948,,,21.0
2025-10-06 20:00:03.993477583,0.158,0.0,
2025-10-06 20:00:04.390257835,,,22.0
2025-10-06 20:00:04.396949053,0.163,0.0,
2025-10-06 20:00:04.801481009,0.168,0.0,
2025-10-06 20:00:05.090260029,,,23.0
2025-10-06 20:00:05.206169128,0.172,0.0,
2025-10-06 20:00:05.660260677,,,24.0
2025-10-06 20:00:05.609039068,0.176,0.0,
2025-10-06 20:00:06.011730671,0.182,0.0,
2025-10-06 20:00:06.350089312,,,25.0
2025-10-06 20:00:06.415477991,0.187,0.0,
2025-10-06 20:00:06.930269241,,,26.0
2025-10-06 20:00:06.822325468,0.192,0.0,
2025-10-06 20:00:07.227260351,0.197,0.0,
2025-10-06 20:00:07.620329142,,,27.0
2025-10-06 20:00:07.633471727,0.203,0.0,
2025-10-06 20:00:08.190266132,,,28.0
2025-10-06 20:00:08.038792610,0.209,0.0,
2025-10-06 20:00:08.442995548,0.214,0.0,
2025-10-06 20:00:08.880266905,,,29.0
2025-10-06 20:00:08.848354578,0.221,0.0,
2025-10-06 20:00:09.250173330,0.226,0.0,
2025-10-06 20:00:09.460128069,,,30.0
2025-10-06 20:00:09.654459238,0.23,0.0,
2025-10-06 20:00:10.150489092,,,31.0
2025-10-06 20:00:10.059872627,0.236,0.0,
2025-10-06 20:00:10.464161396,0.239,0.0,
2025-10-06 20:00:10.729988575,,,32.0
2025-10-06 20:00:10.870455265,0.243,0.0,
2025-10-06 20:00:11.410271883,,,33.0
2025-10-06 20:00:11.274473190,0.251,0.0,
2025-10-06 20:00:11.680927992,0.255,0.0,
2025-10-06 20:00:11.990273476,,,34.0
2025-10-06 20:00:12.085914850,0.26,0.0,
2025-10-06 20:00:12.680524111,,,35.0
2025-10-06 20:00:12.490468502,0.266,0.0,
2025-10-06 20:00:12.897681952,0.27,0.0,
2025-10-06 20:00:13.260275602,,,36.0
2025-10-06 20:00:13.302466869,0.275,0.0,
2025-10-06 20:00:13.707017899,0.281,0.0,
2025-10-06 20:00:13.940347433,,,37.0
2025-10-06 20:00:14.111902714,0.285,0.0,
2025-10-06 20:00:14.540278435,,,38.0
2025-10-06 20:00:14.517526626,0.291,0.0,
2025-10-06 20:00:14.921483278,0.297,0.0,
2025-10-06 20:00:15.210230112,,,39.0
2025-10-06 20:00:15.327269077,0.301,0.0,
2025-10-06 20:00:15.840281010,,,40.0
2025-10-06 20:00:15.733428478,0.307,0.0,
2025-10-06 20:00:16.137985229,0.311,0.0,
2025-10-06 20:00:16.480117321,,,41.0
2025-10-06 20:00:16.541613102,0.317,0.0,
2025-10-06 20:00:17.130283355,,,42.0
2025-10-06 20:00:16.944356441,0.322,0.0,
2025-10-06 20:00:17.351496696,0.325,0.0,
2025-10-06 20:00:17.740284681,,,43.0
2025-10-06 20:00:17.757190704,0.331,0.0,
2025-10-06 20:00:18.160127163,0.338,0.0,
2025-10-06 20:00:18.409807920,,,44.0
2025-10-06 20:00:18.563872814,0.341,0.0,
2025-10-06 20:00:19.010286808,,,45.0
2025-10-06 20:00:18.969221354,0.346,0.0,
2025-10-06 20:00:19.372491598,0.352,0.0,
2025-10-06 20:00:19.679339170,,,46.0
2025-10-06 20:00:19.778296471,0.357,0.0,
2025-10-06 20:00:20.270289898,,,47.0
2025-10-06 20:00:20.183477402,0.363,0.0,
2025-10-06 20:00:20.588799238,0.365,0.0,
2025-10-06 20:00:20.940368891,,,48.0
2025-10-06 20:00:20.996646166,0.37,0.0,
2025-10-06 20:00:21.530291796,,,49.0
2025-10-06 20:00:21.402479887,0.375,0.0,
2025-10-06 20:00:21.804522038,0.38,0.0,
2025-10-06 20:00:22.210293531,,,50.0
2025-10-06 20:00:22.208616495,0.387,0.0,
2025-10-06 20:00:22.800379753,,,51.0
2025-10-06 20:00:22.610604525,0.392,0.0,
2025-10-06 20:00:23.028473139,0.395,0.0,
2025-10-06 20:00:23.478636265,,,52.0
2025-10-06 20:00:23.433477402,0.402,0.0,
2025-10-06 20:00:23.836477041,0.406,0.0,
2025-10-06 20:00:24.059300900,,,53.0
2025-10-06 20:00:24.243469477,0.411,0.0,
2025-10-06 20:00:24.750474691,,,54.0
2025-10-06 20:00:24.647468328,0.416,0.0,
2025-10-06 20:00:25.052432299,0.42,0.0,
2025-10-06 20:00:25.319382429,,,55.0
2025-10-06 20:00:25.458052397,0.426,0.0,
2025-10-06 20:00:26.008691549,,,56.0
2025-10-06 20:00:25.889240026,0.434,0.0,
2025-10-06 20:00:26.295708656,0.44,0.0,
2025-10-06 20:00:26.590301991,,,57.0
2025-10-06 20:00:26.698990107,0.444,0.0,
2025-10-06 20:00:27.280303717,,,58.0
2025-10-06 20:00:27.108148575,0.45,0.0,
2025-10-06 20:00:27.515481234,0.454,0.0,
2025-10-06 20:00:27.848987341,,,59.0
2025-10-06 20:00:27.920070410,0.459,0.0,
2025-10-06 20:00:28.323470831,0.465,0.0,
2025-10-06 20:00:28.540305614,,,60.0
2025-10-06 20:00:28.729994297,0.469,0.0,
2025-10-06 20:00:29.120306969,,,61.0
2025-10-06 20:00:29.137475014,0.474,0.0,
2025-10-06 20:00:29.543473005,0.48,0.0,
