timestamp,weight,scale_drop,vernier_drop
2025-09-26 21:25:43.601095438,0.004,0.0,
2025-09-26 21:25:44.019917965,0.007,0.0,
2025-09-26 21:25:44.436217785,0.006,0.0,
2025-09-26 21:25:44.839917421,0.005,0.0,
2025-09-26 21:25:45.246212721,0.003,0.0,
2025-09-26 21:25:45.648854733,0.004,0.0,
2025-09-26 21:25:46.052999735,0.009,0.0,
2025-09-26 21:25:46.468216658,0.013,0.0,
2025-09-26 21:25:46.871920824,0.012,0.0,
2025-09-26 21:25:47.173921585,,,1.0
2025-09-26 21:25:47.277510881,0.011,0.0,
2025-09-26 21:25:47.823325396,,,2.0
2025-09-26 21:25:47.694936037,0.01,0.0,
2025-09-26 21:25:48.100381851,0.011,0.0,
2025-09-26 21:25:48.473675489,,,3.0
2025-09-26 21:25:48.504562855,0.02,0.0,
2025-09-26 21:25:48.908331633,0.025,0.0,
2025-09-26 21:25:49.113985538,,,4.0
2025-09-26 21:25:49.313365221,0.029,0.0,
2025-09-26 21:25:49.803997517,,,5.0
2025-09-26 21:25:49.716228008,0.035,0.0,
2025-09-26 21:25:50.122756004,0.04,0.0,
2025-09-26 21:25:50.443989038,,,6.0
2025-09-26 21:25:50.539584398,0.044,0.0,
2025-09-26 21:25:51.113991022,,,7.0
2025-09-26 21:25:50.956218719,0.051,0.0,
2025-09-26 21:25:51.356703758,0.055,0.0,
2025-09-26 21:25:51.743960381,,,8.0
2025-09-26 21:25:51.759719133,0.061,0.0,
2025-09-26 21:25:52.323901176,,,9.0
2025-09-26 21:25:52.177083731,0.065,0.0,
2025-09-26 21:25:52.579126596,0.068,0.0,
2025-09-26 21:25:52.943996429,,,10.0
2025-09-26 21:25:52.981459141,0.074,0.0,
2025-09-26 21:25:53.514006376,,,11.0
2025-09-26 21:25:53.387215137,0.082,0.0,
2025-09-26 21:25:53.790970087,0.088,0.0,
2025-09-26 21:25:54.114029884,,,12.0
2025-09-26 21:25:54.206367493,0.096,0.0,
2025-09-26 21:25:54.609633207,0.103,0.0,
2025-09-26 21:25:54.854008675,,,13.0
2025-09-26 21:25:55.013634205,0.108,0.0,
2025-09-26 21:25:55.493999004,,,14.0
2025-09-26 21:25:55.416863441,0.112,0.0,
2025-09-26 21:25:55.835301399,0.118,0.0,
2025-09-26 21:25:56.094001055,,,15.0
2025-09-26 21:25:56.238267899,0.122,0.0,
2025-09-26 21:25:56.713637829,,,16.0
2025-09-26 21:25:56.642971039,0.129,0.0,
2025-09-26 21:25:57.047979593,0.133,0.0,
2025-09-26 21:25:57.543972969,,,17.0
2025-09-26 21:25:57.451252937,0.138,0.0,
2025-09-26 21:25:57.881539583,0.142,0.0,
2025-09-26 21:25:58.164005041,,,18.0
2025-09-26 21:25:58.287206888,0.147,0.0,
2025-09-26 21:25:58.693720341,0.154,0.0,
2025-09-26 21:25:59.084008932,,,19.0
2025-09-26 21:25:59.111804485,0.157,0.0,
2025-09-26 21:25:59.714070797,,,20.0
2025-09-26 21:25:59.516215086,0.159,0.0,
2025-09-26 21:25:59.922320604,0.164,0.0,
2025-09-26 21:26:00.323944092,,,21.0
2025-09-26 21:26:00.325950623,0.17,0.0,
2025-09-26 21:26:00.732069016,0.175,0.0,
2025-09-26 21:26:00.953772068,,,22.0
2025-09-26 21:26:01.135158300,0.179,0.0,
2025-09-26 21:26:01.564176321,,,23.0
2025-09-26 21:26:01.541176081,0.185,0.0,
2025-09-26 21:26:01.953657627,0.191,0.0,
2025-09-26 21:26:02.194053650,,,24.0
2025-09-26 21:26:02.366111517,0.196,0.0,
2025-09-26 21:26:02.813556910,,,25.0
2025-09-26 21:26:02.775955677,0.203,0.0,
2025-09-26 21:26:03.179535151,0.208,0.0,
2025-09-26 21:26:03.443983316,,,26.0
2025-09-26 21:26:03.581454992,0.213,0.0,
2025-09-26 21:26:04.053632498,,,27.0
2025-09-26 21:26:03.993784666,0.219,0.0,
2025-09-26 21:26:04.402544022,0.224,0.0,
2025-09-26 21:26:04.694018602,,,28.0
2025-09-26 21:26:04.806213856,0.23,0.0,
2025-09-26 21:26:05.293955326,,,29.0
2025-09-26 21:26:05.210834980,0.236,0.0,
2025-09-26 21:26:05.614212513,0.24,0.0,
2025-09-26 21:26:05.934029341,,,30.0
2025-09-26 21:26:06.017409086,0.246,0.0,
2025-09-26 21:26:06.544033289,,,31.0
2025-09-26 21:26:06.420153856,0.251,0.0,
2025-09-26 21:26:06.823247910,0.255,0.0,
2025-09-26 21:26:07.184023380,,,32.0
2025-09-26 21:26:07.242299795,0.261,0.0,
2025-09-26 21:26:07.793991327,,,33.0
2025-09-26 21:26:07.642991304,0.268,0.0,
2025-09-26 21:26:08.046209812,0.272,0.0,
2025-09-26 21:26:08.434014320,,,34.0
2025-09-26 21:26:08.449146509,0.278,0.0,
2025-09-26 21:26:09.044023752,,,35.0
2025-09-26 21:26:08.853212118,0.284,0.0,
2025-09-26 21:26:09.270046234,0.289,0.0,
2025-09-26 21:26:09.684026718,,,36.0
2025-09-26 21:26:09.687034369,0.295,0.0,
2025-09-26 21:26:10.088820457,0.3,0.0,
2025-09-26 21:26:10.303964376,,,37.0
2025-09-26 21:26:10.492826462,0.304,0.0,
2025-09-26 21:26:10.934036493,,,38.0
2025-09-26 21:26:10.897110224,0.311,0.0,
